,[a] 0.46296,[b] 0.92593,[c] 1.38889,[d] 1.85184,[e] 2.3148,[f] 3.19442,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1.085,8.34E-05,9.50E-05,9.69E-05,9.50E-05,8.94E-05,7.13E-05,0,1.22E-05,0,1.20E-05,0,4.59E-06,-1.25E-04,8.73E-05,9.15E-05,1.70E-04,-4.55E-05,-2.72E-05,-1.76E-05,-9.08E-07
1.109,8.34E-05,9.54E-05,9.69E-05,9.50E-05,8.90E-05,7.15E-05,-2.99E-06,8.18E-06,1.28E-05,8.18E-06,-6.98E-06,6.98E-06,0,-3.37E-04,2.66E-04,-1.62E-04,-5.63E-05,-6.58E-05,9.48E-06,5.54E-06
1.133,8.33E-05,9.54E-05,9.76E-05,9.54E-05,8.90E-05,7.16E-05,0,-3.99E-06,1.28E-05,4.19E-06,6.98E-06,2.39E-06,3.20E-04,-2.54E-04,-3.58E-04,-1.70E-04,-1.99E-05,-3.18E-05,-3.44E-05,-1.42E-05
1.157,8.34E-05,9.52E-05,9.76E-05,9.52E-05,8.94E-05,7.16E-05,1.24E-05,-3.99E-06,-4.39E-06,0,3.59E-06,2.20E-06,3.20E-04,1.66E-04,-1.79E-04,-4.16E-06,-2.01E-06,-5.13E-06,6.33E-06,-2.94E-06
1.181,8.39E-05,9.52E-05,9.73E-05,9.54E-05,8.92E-05,7.17E-05,1.54E-05,3.99E-06,4.19E-06,3.99E-06,3.59E-06,-2.39E-06,-1.95E-04,1.66E-04,2.70E-04,2.54E-04,-8.40E-06,1.17E-05,5.34E-05,1.05E-05
1.205,8.41E-05,9.54E-05,9.78E-05,9.54E-05,8.95E-05,7.15E-05,2.99E-06,3.99E-06,8.58E-06,1.22E-05,1.76E-05,-4.59E-06,-5.74E-04,-4.63E-17,-8.73E-05,-8.31E-05,2.17E-06,4.50E-05,-2.43E-05,-5.75E-06
1.229,8.40E-05,9.54E-05,9.78E-05,9.59E-05,9.00E-05,7.15E-05,-1.22E-05,3.99E-06,0,-1.12E-19,7.18E-06,2.39E-06,-1.91E-04,-4.63E-17,-1.79E-04,-2.54E-04,2.96E-05,1.05E-05,-4.86E-05,-8.90E-06
1.253,8.36E-05,9.55E-05,9.78E-05,9.54E-05,8.99E-05,7.16E-05,-6.19E-06,3.99E-06,0,-1.12E-19,-1.06E-05,4.59E-06,3.82E-04,4.16E-06,2.70E-04,1.70E-04,4.32E-05,-2.08E-05,1.21E-05,-9.54E-06
1.277,8.37E-05,9.55E-05,9.78E-05,9.59E-05,8.95E-05,7.17E-05,6.19E-06,4.19E-06,1.30E-05,8.18E-06,0,6.78E-06,2.58E-04,1.75E-04,9.15E-05,1.75E-04,1.26E-05,2.08E-05,-7.38E-06,4.87E-06
1.301,8.39E-05,9.57E-05,9.84E-05,9.57E-05,8.99E-05,7.20E-05,6.19E-06,1.24E-05,4.39E-06,8.38E-06,1.42E-05,6.98E-06,-1.29E-04,1.70E-04,-1.79E-04,5.89E-18,-2.57E-05,2.15E-05,-9.96E-06,-7.79E-06
